condition_code,run,seed,scientific_status,final_generation,final_population_size,latest_checkpoint,latest_checkpoint_generation,provenance_file,git_commit
HHHHLHL-HL,1,16267360674747590401,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-HL,2,6108683555429096635,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-HL,3,11132552909956980657,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-LH,1,4737257199488835184,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-LH,2,14998947537604770236,host_extinction,4,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-LH,3,18081245896217453311,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-LL,1,3895029521627228901,host_extinction,4,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-LL,2,656530594077584792,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-LL,3,14540382531460830862,host_extinction,4,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-Z,1,17447493529573489420,host_extinction,4,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-Z/provenance-001-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
